idaluno,idturma,motivoinativacao,nomedisciplina,notafase,nomefase,idfasenota,numerofase,idade,corraca,sexo,datasituacaoativo,datasituacaoinativo,datahoraefetivacaomatricula,diasmatriculado,inativo
304,256,,MATEMÁTICA,4.0,DIAGNOSTICA 1,242,1,15.0,B,F,2022-01-01 00:00:00,2022-12-31 00:00:00,2022-01-19 00:00:00,346.0,False
167,202,,INGLÊS,5.0,1º SEMESTRE,255,2,18.0,B,F,2022-01-01 00:00:00,2022-12-31 00:00:00,2022-01-20 00:00:00,345.0,False
182,266,,INGLÊS,4.5,DIAGNOSTICA 2,251,4,17.0,R,F,2022-01-01 00:00:00,2022-12-31 00:00:00,2022-01-20 00:00:00,345.0,False
336,174,,MATEMÁTICA,4.0,2º SEMESTRE,238,3,14.0,B,F,2022-01-01 00:00:00,2022-12-31 00:00:00,2022-02-10 00:00:00,324.0,False
305,273,,INGLÊS,7.0,DIAGNOSTICA 1,278,1,17.0,R,M,2022-01-01 00:00:00,2022-12-31 00:00:00,2022-02-24 00:00:00,310.0,False
27,303,,INGLÊS,4.5,MÉDIA DIAGNÓSTICA,283,5,19.0,R,M,2022-01-01 00:00:00,2022-12-31 00:00:00,2022-02-28 00:00:00,306.0,False
97,286,,INGLÊS,0.0,2º SEMESTRE,280,3,17.0,R,F,2022-01-01 00:00:00,2022-12-31 00:00:00,2022-04-05 00:00:00,270.0,False
239,180,Conhecimento acima da fase atual,PORTUGUÊS,4.0,DIAGNOSTICA 1,236,1,16.0,B,M,2022-01-01 00:00:00,2022-07-23 19:03:00,2022-01-21 00:00:00,183.0,True
290,203,,INGLÊS,9.0,1º SEMESTRE,249,2,16.0,B,F,2022-01-01 00:00:00,2022-12-31 00:00:00,2022-02-03 00:00:00,331.0,False
128,208,,PORTUGUÊS,4.5,DIAGNOSTICA 2,263,4,19.0,P,F,2022-01-01 00:00:00,2022-12-31 00:00:00,2022-01-19 00:00:00,346.0,False
196,169,,MATEMÁTICA,3.0,MÉDIA DIAGNÓSTICA,241,5,14.0,R,M,2022-01-01 00:00:00,2022-12-31 00:00:00,2022-01-20 00:00:00,345.0,False
232,281,,INGLÊS,7.0,MÉDIA DIAGNÓSTICA,283,5,14.0,B,M,2022-01-01 00:00:00,2022-12-31 00:00:00,2022-02-25 00:00:00,309.0,False
297,189,,MATEMÁTICA,8.0,1º SEMESTRE,243,2,15.0,B,M,2022-01-01 00:00:00,2022-12-31 00:00:00,2022-01-18 00:00:00,347.0,False
111,208,,INGLÊS,9.5,MÉDIA ANUAL,264,6,19.0,B,F,2022-01-01 00:00:00,2022-12-31 00:00:00,2022-01-20 00:00:00,345.0,False
146,234,,INGLÊS,6.5,DIAGNOSTICA 2,281,4,19.0,B,M,2022-01-01 00:00:00,2022-12-31 00:00:00,2022-02-27 00:00:00,307.0,False
